Sorin-George Oltenașu;;2;'';'';'231';'SOS';'{}'
Octavian Oprea;;2;'';'';'232';'PNL';'{}'
Varujan Pambuccian;1959-04-25;2;'';'Varujan Pambuccian';'233';'';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2, "2000": 2, "1996": 2}'
Ciprian Pandea;1986-12-10;2;'';'Ciprian Pandea';'234';'PNL';'{"2024": 2, "2020": 1}'
Ciprian-Constantin Paraschiv;;2;'';'';'235';'AUR';'{}'
Ovidiu-Romulus Paraschivescu;;2;'';'';'236';'USR';'{}'
Nini-Alexandru Pascalini;;2;'';'';'237';'SOS';'{}'
Mihai-Cosmin Pascariu;;2;'';'';'238';'AUR';'{}'
Nicolae Păun;1964-11-09;2;'';'Nicolae Păun';'239';'';'{"2024": 2, "2012": 2, "2008": 2, "2004": 2, "2000": 2}'
Silviu-Titus Păunescu;1979-06-22;2;'';'Silviu-Titus Păunescu';'240';'AUR';'{"2024": 2, "2020": 2}'
Nicolae-Miroslav Petrețchi;1985-09-16;2;'';'Nicolae-Miroslav Petrețchi';'241';'';'{"2024": 2, "2020": 2, "2016": 2}'
Eliza-Mădălina Peța-Ștefănescu;1984-09-18;2;'';'Eliza-Mădălina Peța-Ștefănescu';'242';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Marilen - Gabriel Pirtea;1973-11-28;2;'';'';'243';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
Simona-Geanina Pistru-Popa;;2;'';'';'244';'PNL';'{}'
Gheorghe-Petru Pîclișan;;2;'';'';'245';'POT';'{}'
Rodica Plopeanu;;2;'';'';'246';'SOS';'{}'
Andrei George Plujar;;2;'';'';'247';'USR';'{}'
Victor-Viorel Ponta;1972-09-20;2;'';'Victor-Viorel Ponta';'248';'PSD';'{"2024": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2}'
Alexandru Popa;1990-08-06;2;'';'Alexandru Popa';'249';'PNL';'{"2024": 2, "2020": 2}'
Cristian-Alexandru Popa;;2;'';'';'250';'POT';'{}'
Dorin Popa;;2;'';'';'251';'POT';'{}'
George-Adrian Popa;;2;'';'';'252';'PSD';'{}'
Maricel Popa;1961-06-10;2;'';'Maricel Popa';'253';'PSD';'{"2024": 2, "2020": 1}'
