Marius Manolache;1968-05-05;2;"27 Mehedinți, colegiul uninominal nr.4";"Marius Manolache";"200"
Vlad Marcoci;1968-02-01;2;"29 Neamț, colegiul uninominal nr.2";"";"202"
Nicu Marcu;1968-11-21;2;"4 Bacău, colegiul uninominal nr.1";"";"203"
Viorica Marcu;1955-08-20;2;"4 Bacău, colegiul uninominal nr.5";"";"204"
Ion Cristinel Marian;1968-12-02;2;"40 Vâlcea, colegiul uninominal nr.4";"";"205"
Markó Attila-Gabor;1968-09-27;2;"15 Covasna, colegiul uninominal nr.1";"";"207"
Ion Marocico;1974-12-20;2;"";"";"208"
Călin-Vasile-Andrei Matei;1966-04-07;2;"26 Maramureș, colegiul uninominal nr.3";"Călin-Vasile-Andrei Matei";"212"
Flavius-Luigi Măduța;1971-02-24;2;"2 Arad, colegiul uninominal nr.1";"";"214"
Ion Melinte;1959-06-22;2;"4 Bacău, colegiul uninominal nr.5";"";"215"
Aurelian Mihai;1975-11-24;2;"43 Diaspora, colegiul uninominal nr.1";"Aurelian Mihai";"217"
Ioan Mihăilă;1976-05-11;2;"42 București, colegiul uninominal nr.6";"";"218"
Ion-Bogdan Mihăilescu;1978-04-03;2;"42 București, colegiul uninominal nr.28";"";"219"
Lucian Militaru;1962-03-04;2;"36 Teleorman, colegiul uninominal nr.4";"";"220"
Liliana Mincă;1969-05-11;2;"7 Botoșani, colegiul uninominal nr.3";"";"221"
Răzvan Horia Mironescu;1967-11-13;2;"42 București, colegiul uninominal nr.26";"";"223"
Niculina Mocioi;1979-05-10;2;"20 Gorj, colegiul uninominal nr.5";"";"230"
Constantin Moisii;1952-11-30;2;"29 Neamț, colegiul uninominal nr.3";"";"231"
Ioan Moldovan;1951-01-26;2;"13 Cluj, colegiul uninominal nr.7";"Ioan Moldovan";"233"
Moldovan Iosif;1976-04-21;2;"21 Harghita, colegiul uninominal nr.4";"";"234"
Molnar Zsolt;1983-08-23;2;"37 Timiș, colegiul uninominal nr.2";"";"235"
Constantin-Stelian-Emil Moț;1981-04-23;2;"30 Olt, colegiul uninominal nr.1";"";"237"
Mircia Muntean;1963-04-28;2;"22 Hunedoara, colegiul uninominal nr.6";"Mircia Muntean";"239"
Neagu Murgu;1962-08-01;2;"41 Vrancea, colegiul uninominal nr.5";"";"241"
