Cod,Lat,Lon
IS-II-m-B-04141,47.151158,27.420931
IS-II-a-B-04264,46.908434,27.337117
IS-II-a-B-04238,47.243704,26.845661
IS-II-m-B-04144,46.918262,27.198758
IS-II-m-A-04146,47.46586,26.878608
BT-III-m-B-20848,47.75751,26.47898
VS-II-m-B-06805,46.767205,27.894727
VS-II-m-A-06870,46.901844,27.797286
VS-II-a-B-06877,46.863331,27.255618
VS-II-m-B-06851,46.560535,28.112156
VS-II-a-A-06881,46.759724,27.786183
VS-II-m-B-06888,46.919391,27.688347
VS-II-m-B-06853,46.467294,27.946027
VS-II-m-B-06771,46.803812,27.624274
IS-II-a-B-04229,47.150501,27.237242
IS-II-m-A-04212,47.245205,26.727912
IS-II-m-B-04199,47.096627,26.923445
BT-II-m-B-01965,48.183629,26.591156
BT-II-m-B-01966,47.850427,26.95151
BT-II-m-B-01967,47.98929,26.213121
07B0141,47.552867,26.880713
BT-II-m-B-01987,47.774089,27.072759
BT-II-m-B-01992,48.141492,26.508894
BT-II-m-B-01995,47.85818,26.306609
BT-II-m-B-01997,47.883492,27.063015
BT-II-m-B-01998,48.201016,26.847603
BT-II-m-B-02001,48.001337,26.833291
BT-II-m-B-02009,47.957456,26.860285
BT-II-m-B-02026,47.709386,26.519151
IS-II-a-B-04159,47.484627,26.881206
SV-II-m-B-05506,47.855949,26.115961
SV-II-m-B-05554,47.754906,26.371651
SV-II-m-B-05562,47.765032,26.08386
SV-II-m-B-05573,47.542345,26.4169
IS-II-a-B-04193,47.441238,27.551351
IS-II-m-B-04153,47.296004,26.489255
IS-II-m-B-04204,47.151596,27.522231
IS-II-m-B-04210,47.481966,27.109998
NT-II-m-B-10604,47.003875,26.522326
NT-II-a-B-10611,46.750227,26.665765
GL-II-m-B-03076,45.683061,27.639735
GL-II-a-B-03082,46.04211,27.482214
GL-II-a-B-03124,45.900148,27.424428
GL-IV-m-B-03148,45.904434,27.432432
VN-IV-m-B-20944,45.49882,27.120812
IS-II-m-B-04235,46.956187,27.945601
IS-II-m-B-04253,47.115796,26.882343
IS-II-m-B-04257,47.115796,26.882343
IS-II-a-B-04258,47.472083,27.220602
NT-II-m-B-10621,46.946271,26.997442
NT-IV-m-B-10762,47.141847,26.375657
NT-II-a-B-10641,46.798881,26.62322
NT-II-a-B-10723,47.081886,26.645996
NT-II-m-B-10731,47.138381,26.269382
