"Judet","Localitate","Tip artera","Denumire artera","Numar/Bloc","Codpostal"
"Giurgiu","Giurgiu","Strada","Sirenei","","080163"
"Giurgiu","Giurgiu","Strada","Zefirului","","080164"
"Giurgiu","Giurgiu","Ulița","Alunelor","","080165"
"Giurgiu","Giurgiu","Intrarea","Teiului","","080166"
"Giurgiu","Giurgiu","Ulița","Gutuiului","","080167"
"Giurgiu","Giurgiu","Strada","Unirii","","080168"
"Giurgiu","Giurgiu","Piața","Oinac","","080169"
"Giurgiu","Giurgiu","Strada","Gării","nr. 9-93","080445"
"Giurgiu","Giurgiu","Strada","Gării","nr. 95-T","080446"
"Giurgiu","Giurgiu","Strada","Gării","nr. 2-100","080447"
"Giurgiu","Giurgiu","Strada","Gării","nr. 102-T","080448"
"Giurgiu","Giurgiu","Piața","Gării","","080449"
"Giurgiu","Giurgiu","Strada","Păstorului","nr. 33-T","080572"
"Giurgiu","Giurgiu","Strada","Păstorului","nr. 22-T","080574"
"Giurgiu","Giurgiu","Șoseaua","Ghizdarului","nr. 1-85","080591"
"Giurgiu","Giurgiu","Șoseaua","Ghizdarului","nr. 87-T","080592"
"Giurgiu","Giurgiu","Șoseaua","Ghizdarului","nr. 4-T","080594"
"Giurgiu","Giurgiu","Fundătura","Bradului","","080595"
"Giurgiu","Giurgiu","Intrarea","Năvodului","","080596"
"Giurgiu","Giurgiu","Drumul","Fermei","","080597"
"Giurgiu","Giurgiu","Ulița","Ulmilor","","080598"
"Giurgiu","Giurgiu","Strada","Luntrei","","080599"
"Giurgiu","Giurgiu","Fundătura","Vlăsiei","","080601"
"Giurgiu","Giurgiu","Strada","Miron Costin","","080602"
"Giurgiu","Giurgiu","Ulița","Măcin","","080603"
"Giurgiu","Giurgiu","Intrarea","Merișor","","080604"
"Giurgiu","Giurgiu","Strada","Muncii","","080605"
"Giurgiu","Giurgiu","Ulița","Macilor","","080606"
"Giurgiu","Giurgiu","Intrarea","Gării","","080851"
"Giurgiu","Giurgiu","Bulevardul","Brătianu I. C. Ion","nr. 1-71","080361"
"Giurgiu","Giurgiu","Bulevardul","Brătianu I. C. Ion","nr. 2-84","080364"
"Giurgiu","Giurgiu","Strada","Oituz","","080451"
"Giurgiu","Giurgiu","Strada","Cetății","","080452"
"Giurgiu","Giurgiu","Fundătura","Cetății","","080453"
"Giurgiu","Giurgiu","Strada","Mărășești","","080454"
"Giurgiu","Giurgiu","Strada","Mărăști","","080455"
"Giurgiu","Giurgiu","Strada","Dimitrie Cantemir","","080456"
"Giurgiu","Giurgiu","Strada","Plugari","","080457"
"Giurgiu","Giurgiu","Strada","Șelari","","080458"
"Giurgiu","Giurgiu","Strada","Baciu","","080459"
"Giurgiu","Giurgiu","Strada","Uzunu","","080461"
"Giurgiu","Giurgiu","Drumul","Digului","","080312"
"Giurgiu","Giurgiu","Ulița","Digului","","080314"
"Giurgiu","Giurgiu","Șoseaua","Sloboziei","bl. B, C, D, Garsoniere 1, Garsoniere 3, SNG, 2, 4, B49, C49","080331"
"Giurgiu","Giurgiu","Șoseaua","Sloboziei","nr. 1-81","080331"
"Giurgiu","Giurgiu","Șoseaua","Sloboziei","nr. 83-T","080332"
"Giurgiu","Giurgiu","Șoseaua","Sloboziei","nr. 2-114","080333"
"Giurgiu","Giurgiu","Șoseaua","Sloboziei","nr. 116-T","080334"
"Giurgiu","Giurgiu","Intrarea","Sloboziei","","080335"
"Giurgiu","Giurgiu","Strada","Cocorului","","080336"
"Giurgiu","Giurgiu","Strada","Doicești","","080337"
"Giurgiu","Giurgiu","Strada","Pajurei","","080338"
"Giurgiu","Giurgiu","Ulița","Camei","","080339"
"Giurgiu","Giurgiu","Intrarea","Ștorobăneni","","080341"
"Giurgiu","Giurgiu","Ulița","Luminișului","","080342"
"Giurgiu","Giurgiu","Intrarea","Burnazului","","080343"
"Giurgiu","Giurgiu","Strada","Ardeleni","","080344"
"Giurgiu","Giurgiu","Intrarea","Gârlei","","080347"
"Giurgiu","Giurgiu","Intrarea","Crăițelor","","080349"
"Giurgiu","Giurgiu","Ulița","Vedea","","080353"
"Giurgiu","Giurgiu","Strada","Riviera","","080355"
